496, 175
606, 24
39, 861
153, 327
505, 121
651, 861
534, 382
967, 113
55, 561
735, 377
98, 12
156, 690
478, 731
759, 596
630, 904
779, 234
861, 386
644, 42
913, 717
474, 135
647, 436
214, 698
508, 982
94, 509
641, 16
918, 353
871, 854
243, 957
659, 552
840, 873
408, 938
632, 990
5, 323
466, 369
950, 367
161, 803
108, 479
310, 150
947, 202
998, 325
706, 245
562, 628
538, 674
9, 590
403, 738
839, 87
321, 180
477, 492
790, 709
177, 723
530, 372
707, 538
218, 969
404, 807
991, 111
350, 520
979, 209
932, 549
181, 758
262, 878
768, 34
377, 439
976, 815
277, 657
616, 765
377, 518
86, 44
710, 983
615, 501
670, 345
833, 598
763, 305
796, 669
69, 932
301, 742
359, 471
958, 474
48, 729
476, 941
408, 455
150, 874
319, 347
530, 871
420, 62
584, 621
354, 884
766, 841
851, 568
960, 274
693, 439
275, 56
938, 646
740, 47
920, 21
669, 467
83, 51
929, 960
914, 574
816, 616
279, 651
